NIRE,Empresa,Município,Month,Year,Type
35300227620,UBERABA AMBIENTAL S.A.,MAUA,12,2006,Sociedade por Acoes
35300337182,WTORRE RPJ EMPREENDIMENTOS IMOBILIARIOS S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337191,AZEVEDO E LUZ COMERCIO E SERVICOS DE INFORMATICA S.A.,BARUERI,12,2006,Sociedade por Acoes
35300337204,GHP5 ADMINISTRACAO E PARTICIPACOES S.A,SAO PAULO,12,2006,Sociedade por Acoes
35300337212,LANDRES IMOBILIARIA E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337221,SANTOS BRASIL TECON S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337239,NOVA LOGISTICA S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337247,COMPANHIA INVEST DE ADMINISTRACAO E PARTICIPACOES,SAO PAULO,12,2006,Sociedade por Acoes
35300337255,COTIA COMERCIAL EXPORTADORA E IMPORTADORA S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337263,BRAXOIL ENERGY COMPANY,SAO PAULO,12,2006,Sociedade por Acoes
35300337271,IUNI PARTICIPACOES E SERVICOS S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337280,VIAMAX HOLDING S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337298,"ENERGETICA CASTILHO S/A ""INABILITADA PARA EXERCER ATIVIDADE EMPRESARIAL""",RIBEIRAO PRETO,12,2006,Sociedade por Acoes
35300337301,BCP EMPREENDIMENTOS IMOBILIARIOS S/A.,,12,2006,Sociedade por Acoes
35300337310,BSI PARTICIPACOES E INVESTIMENTOS S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337328,DIGIGRAF DISTRIBUIDORA COMERCIO E SERVICOS S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337336,NOVA PETROLEO RECONCAVO S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337344,MR PARTICIPACOES E EMPREENDIMENTOS S.A.,SAO BERNARDO DO CAMPO,12,2006,Sociedade por Acoes
35300337352,TGSC TERMINAL DE GRANEIS DE SANTA CATARINA S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337361,ALPHA TRADING S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337379,FINDERS COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS.,SAO PAULO,12,2006,Sociedade por Acoes
35300337387,"TMS CALL CENTER S.A ""INABILITADA PARA EXERCER ATIVIDADE EMPRESARIAL""",BARUERI,12,2006,Sociedade por Acoes
35300337395,COMPANHIA NACIONAL DE COMERCIO S.A,SAO PAULO,12,2006,Sociedade por Acoes
35300337409,CLI EMPREENDIMENTOS E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337417,"CAMARVI PARTICIPACOES SA ""COTAS PENHORADAS POR ORDEM JUDICIAL (PROCESSO N. 1068087-94.2014.8.26.0100)""",SAO PAULO,12,2006,Sociedade por Acoes
35300337425,MUFFINS ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337433,GSR7 SERVICOS PARA TECNOLOGIA DA INFORMACAO S.A,SAO BERNARDO DO CAMPO,12,2006,Sociedade por Acoes
35300337441,A VIDA E BELA DO BRASIL S/A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337450,WALLINGFORD DO BRASIL REPRESENTACOES E DESENVOLVIMENTO DE MAQUINAS S.A.,ARTUR NOGUEIRA,12,2006,Sociedade por Acoes
35300337468,CALCEDONEA ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337476,ENSICO EMPREENDIMENTOS E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337484,BONIX EMPREENDIMENTOS E PARTICIPACOES S/A,SANTANA DE PARNAIBA,12,2006,Sociedade por Acoes
35300337492,INOVADORA 2A TECNOLOGIA S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337506,JJFF ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337514,WTORRE SAO PAULO EMPREENDIMENTOS IMOBILIARIOS S/A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337522,O.Q.A. HOLDINGS S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337531,AGADE ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337549,LFB ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337557,REC PRAIA GRANDE S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337565,LUXVILLE PARTICIPACOES S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337573,UNIBANCO EMPREENDIMENTOS E PARTICIPACOES S.A,SAO PAULO,12,2006,Sociedade por Acoes
35300337581,BWU COMERCIO E ENTRETENIMENTO S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337590,ETSCHEID ADMINISTRACAO E PARTICIPACAO LTDA,PIRAJUI,12,2006,Sociedade por Acoes
35300337603,WTORRE TILT UP SISTEMAS CONSTRUTIVOS S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337611,FERRARETTO S.A. ADMINISTRACAO E PARTICIPACOES,SAO PAULO,12,2006,Sociedade por Acoes
35300337620,UBERABA AMBIENTAL S.A,MAUA,12,2006,Sociedade por Acoes
35300337638,B2W COMPANHIA GLOBAL DE VAREJO,OSASCO,12,2006,Sociedade por Acoes
35300337646,PRACA GUEDALA ENPREENDIMENTOS IMOBILIARIOS S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337654,ALPES HOLDING FINANCEIRA S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337662,REC GUADALUPE S.A,SAO PAULO,12,2006,Sociedade por Acoes
35300337671,CAMAR EMPREENDIMENTOS E PARTICIPACOES S.A,BARUERI,12,2006,Sociedade por Acoes
35300337689,USS SOLUCOES GERENCIADAS S.A.,BARUERI,12,2006,Sociedade por Acoes
35300337697,SANTA ELIZA AGRO FLORESTAL S/A,RIBEIRAO BONITO,12,2006,Sociedade por Acoes
35300337701,AGROPECUARIA MORUMBI S/A,ITAPETININGA,12,2006,Sociedade por Acoes
35300337719,INDUSTRIA E EVENTOS PARTICIPACOESS.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337727,G.R.E. ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337735,TROPICAL FLORA S.A.,SANTO ANDRE,12,2006,Sociedade por Acoes
35300337743,PRO-LIFE DO BRASIL S.A.,BARUERI,12,2006,Sociedade por Acoes
35300337751,GEFORT ADMINISTRACAO E PARTICIPACOES S/A,VOTORANTIM,12,2006,Sociedade por Acoes
35300337760,VALE SUICO ADMINISTRACAO E PARTCIPACOES S/A,SOROCABA,12,2006,Sociedade por Acoes
35300337778,BRASMOBIL ADMINISTRACAO E PARTICIPACOES S/A,VOTORANTIM,12,2006,Sociedade por Acoes
35300337786,SOLVI AMBIENTAL S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337794,BATAHA EMPREENDIMENTOS E PARTICIPACOES S/A,SOROCABA,12,2006,Sociedade por Acoes
35300337808,JP ADMINISTRACAO E PARTICIPACOES S/A,SANTANA DE PARNAIBA,12,2006,Sociedade por Acoes
35300337816,JARDIM DOS LAGOS S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337824,WILL COMPANY PARTICIPACAO E CONTROLE S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337832,SNT ADMINISTRACAO E GESTOES S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337841,ILANG PARTICIPACOES S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337859,PORSANI E BASTOS ADMINISTRACAO E PARTICIPACOES S/A,BARUERI,12,2006,Sociedade por Acoes
35300337867,ALLIS SOLUCOES EM TRADE PESSOAS E PARTICIPACOES S.A,SAO PAULO,12,2006,Sociedade por Acoes
35300337875,RPAR HOLDING S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337883,SAHY PARTICIPACOES S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337891,SETIBA PARTICIPACOES S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337905,BINGIN PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337913,BRK AMBIENTAL - RIO CLARO S.A.,RIO CLARO,12,2006,Sociedade por Acoes
35300337921,BRK AMBIENTAL - CAPIVARI S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337930,CHRISRUBENS ADMINISTRACAO E PARTICIPACOES S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337948,QUATRO ADMINISTRACAO E PARTICIPACOES S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337956,ATRADIUS CREDITO Y CAUCION SEGURADORA S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337964,CREDITO Y CAUCION SEGURADORA DE CREDITO A EXPORTACAO S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337972,WTORRE SPE XVII DESENVOLVIMENTOS IMOBILIARIOS S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300337981,GSR7 SERVICOS PARA TECNOLOGIA DA INFORMACAO S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300337999,EXECTIS ADMINISTRACAO E PARTICIPACAO S.A,SAO PAULO,12,2006,Sociedade por Acoes
35300338006,CELPLAY JOGOS E ENTRETENIMENTO S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300338014,ESTERRE HOLDINGS S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300338022,MONEYCORP BANCO DE CAMBIO S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35300338031,CONSIX S/A CONSULTORIA & ADMINISTRACAO DE SERVICOS,SAO PAULO,12,2006,Sociedade por Acoes
35300338049,SENSEDIA S.A.,CAMPINAS,12,2006,Sociedade por Acoes
35300338065,MATRIS PARTICIPACOES S/A.,SAO PAULO,12,2006,Sociedade por Acoes
35300338073,NAKAYONE EMPREENDIMENTOS E PARTICIPACOES S/A,CABREUVA,12,2006,Sociedade por Acoes
35300338081,MITHRAS ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,12,2006,Sociedade por Acoes
35300338090,VELOMAX TELECOMUNICACOES S.A,SAO PAULO,12,2006,Sociedade por Acoes
35300338766,ITAU VIDA E PREVIDENCIA S.A.,SAO PAULO,12,2006,Sociedade por Acoes
35400067284,COOPERATIVA DOS TRABALHADORES EM SERVICOS DE COMUNICACAO - COMMUS,ADAMANTINA,12,2006,Cooperativa
35400078944,"UNICA-COOPERATIVA DE TRABALHO DOS PROFISSIONAIS EM HOTELARIA, GASTRONOMIA E EVENTOS.",SAO PAULO,12,2006,Cooperativa
35400081589,UNIVEM COOPERATIVA DE TRABALHO DOS PROFISSIONAIS DE VENDAS,SAO PAULO,12,2006,Cooperativa
35400081597,COOPERRADI COOPERATIVA DE TRABALHO POR PROFISSIONAIS EM RADIOLOGIA MEDICA,ARUJA,12,2006,Cooperativa
35400081716,COOPERATIVA DE PRODUTORES DE TRANSFORMADORES ELETRICOS E PRODUTOS METALURGICOS - COOPER WTW,FERNANDOPOLIS,12,2006,Cooperativa
35400084006,COOPERATIVA DE JOVENS DO PROJETO PRIMEIRO EMPREGO DE DIADEMA-COOPERJOVEM,DIADEMA,12,2006,Cooperativa
35400084014,COOPERATIVA DE TRABALHO DOS TRANSPORTADORES DE ESCOLARES COOPERELOS,SAO PAULO,12,2006,Cooperativa
35400086947,COOPERTRAMP - COOPERATIVA DE TRABALHO NA AREA DE MANUTENCAO PATRIMONIAL,SAO VICENTE,12,2006,Cooperativa
35400093676,COOPERATIVA DE RECICLAGEM TATUI,TATUI,12,2006,Cooperativa
35400096543,COOPERATIVA PRO-HABITACAO E INTEGRACAO AO MEIO AMBIENTE.,PAULINIA,12,2006,Cooperativa
35400096551,PHOENIXCOOP COOPERATIVA DE TRABALHO DOS PROFISSIONAIS DE VENDAS E OPERACOES COMERCIAIS,SAO PAULO,12,2006,Cooperativa
35400096560,COOPER21 COOPERATIVA DE TRABALHO DE TRANSPORTES RODOVIARIOS DO LITORAL SUL,SAO PAULO,12,2006,Cooperativa
35400096578,COOPERATIVA RECICLE BRAGANCA,BRAGANCA PAULISTA,12,2006,Cooperativa
35400096586,COOPERCRASE - COOPERATIVA DE TRABALHO DE GESTAO COM PESSOAS,JUNDIAI,12,2006,Cooperativa
35400096594,COOPERATIVA HABITACIONAL NACIONAL - COOP.,ITANHAEM,12,2006,Cooperativa
35400096608,CP. ADM - COOPERATIVA DE PROFISSIONAIS DE ADMINISTRACA,MOGI DAS CRUZES,12,2006,Cooperativa
35500046718,CONSORCIO MCC,BARUERI,12,2006,Consorcio
35500046726,CONSORCIO TECAM - TECNOLOGIA AMBIENTAL,CAMPINAS,12,2006,Consorcio
35500046734,CONSORCIO OSBAT II,SAO PAULO,12,2006,Consorcio
35500046742,CONSORCIO GEOMETRICA OPUS,SAO PAULO,12,2006,Consorcio
