NIRE,Empresa,Município,Month,Year,Type
35300346831,"ABENGOA BIOENERGIA BRASIL S.A. ""EM RECUPERACAO JUDICIAL""",PIRASSUNUNGA,9,2007,Sociedade por Acoes
35300346840,GERADORA DE ENERGIA DO NORTE S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300346858,LIBRA TERMINAL CUBATAO S.A.,CUBATAO,9,2007,Sociedade por Acoes
35300346866,MADEIRA ENERGIA S.A.- MESA,SAO PAULO,9,2007,Sociedade por Acoes
35300346874,REIVO PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300346882,"HEBER PARTICIPACOES S.A. ""EM RECUPERACAO JUDICIAL""",SAO PAULO,9,2007,Sociedade por Acoes
35300346891,BHB INVESTIMENTOS S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300346904,VENETI PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300346921,MAPS S.A. SOLUCOES E SERVICOS,SAO PAULO,9,2007,Sociedade por Acoes
35300346939,BERF PARTICIPACOES S.A.,LINS,9,2007,Sociedade por Acoes
35300346947,PORTO FERRAZ CONSTRUTORA S.A,SAO PAULO,9,2007,Sociedade por Acoes
35300346955,GENESCIENCE DO BRASIL PARTICIPACOES S/A,SAO PAULO,9,2007,Sociedade por Acoes
35300346963,AGB ADMINISTRACAO E PARTICIPACOES S/A,SAO JOSE DOS CAMPOS,9,2007,Sociedade por Acoes
35300346971,ARIES ASSESSORIA EMPRESARIAL S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300346980,FLEXBR TECNOLOGIA S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300346998,COMPANHIA DOCAS DE SAO SEBASTIAO,SAO SEBASTIAO,9,2007,Sociedade por Acoes
35300347005,MIX FIELDER EMPREENDIMENTOS E NEGOCIOS S/A,SAO PAULO,9,2007,Sociedade por Acoes
35300347013,RIPART PARTICIPACOES S.A. EM LIQUIDACAO,RIBEIRAO PRETO,9,2007,Sociedade por Acoes
35300347021,PI4 PARTICIPACOES E EMPREENDIMENTOS S/A,SAO PAULO,9,2007,Sociedade por Acoes
35300347030,PITHECIA PARTICIPACOES S/A,SAO PAULO,9,2007,Sociedade por Acoes
35300347048,SC EMPREENDIMENTOS E PARTICIPACOES SPE S.A.,OSASCO,9,2007,Sociedade por Acoes
35300347056,PAGGO EMPREENDIMENTOS S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347064,EUKARYOTA PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347072,ORIMI S.A.,CAMPINAS,9,2007,Sociedade por Acoes
35300347099,MONSTERA EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347102,MARDIGRAS EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347111,NEPETA EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347129,PIMENTO EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347137,MALAGUETA EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347145,PACHIRA EMPREENDIMENTOS S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347153,ZUQUINI EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347161,POEJO EMPREENDIMENTOS S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347170,QUENOPODIO EMPREENDIMENTOS S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347188,TABEBUIA EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347196,TRIFILA EMPREENDIMENTOS S/A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347200,HDE PARTICIPACOES LTDA,SAO PAULO,9,2007,Sociedade por Acoes
35300347218,HM ENGENHARIA E CONSTRUCOES S.A.,CAMPINAS,9,2007,Sociedade por Acoes
35300347226,RAMATA EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347234,TERRACE EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347242,RIMENE EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347251,LOCARDIO EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347269,CIESA S/A INDUSTRIA ALFANDEGADAS,SANTOS,9,2007,Sociedade por Acoes
35300347277,SISTEMA MED SERVICOS EDUCACIONAIS S.A.,BARRETOS,9,2007,Sociedade por Acoes
35300347285,TECHNEX TECNOLOGIA EDUCACIONAL S.A.,SOROCABA,9,2007,Sociedade por Acoes
35300347293,EDUCATE EDITORA S/A.,SOROCABA,9,2007,Sociedade por Acoes
35300347307,DONNET PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347315,BCR II - COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS,SAO PAULO,9,2007,Sociedade por Acoes
35300347331,PROMON INVESTIMENTOS S.A,SAO PAULO,9,2007,Sociedade por Acoes
35300347340,PROMON PARTICIPACOES E INVESTIMENTOS S.A,SAO PAULO,9,2007,Sociedade por Acoes
35300347366,USINA PAULISTA QUELUZ DE ENERGIA S.A,SAO PAULO,9,2007,Sociedade por Acoes
35300347374,USINA PAULISTA LAVRINHAS DE ENERGIA S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347382,JPR PARTICIPACOES E EMPREENDIMENTOS S.A,SANTANA DE PARNAIBA,9,2007,Sociedade por Acoes
35300347391,HARISSA PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347404,NOVA AGRO S.A.,SERTAOZINHO,9,2007,Sociedade por Acoes
35300347412,ORIENTAL ENERGIA S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347421,QUEBRA DEDO HIDRELETRICA S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347439,PIRAPETINGA HIDRELETRICA S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347447,JORGE'S INCORPORADORA E EMPREENDIMENTOS S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347455,PHARMA FACTOR EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347463,BARBARA EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347471,LEMANS EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,9,2007,Sociedade por Acoes
35300347480,CUPECE - NEGOCIOS E PARTICIPACOES SOCIETARIAS S.A,SAO PAULO,9,2007,Sociedade por Acoes
