NIRE,Empresa,Município,Month,Year,Type
35600740781,TRANSPORTADORA MOGIBELO EIRELI,MOGI DAS CRUZES,4,2015,Grupo
35600853003,CASA D INDUSTRIA DE MOVEIS - EIRELI,MIRASSOL,4,2015,Grupo
35600853020,M. RICCI COMERCIO DE ROUPAS E ACESSORIOS EIRELI,RIO CLARO,4,2015,Grupo
35600864579,FLO-PIX COMERCIO E SERVICOS EIRELI,SAO PAULO,4,2015,Grupo
35600864757,LEARNING ADVICE CONSULTORIA EIRELI,SAO PAULO,4,2015,Grupo
35600867373,"RASTEKA COMERCIO DE CALCADOS ""INABILITADA PARA EXERCER A ATIVIDADE EMPRESARIAL""",JAU,4,2015,Grupo
35600867462,ESTALEIRO MAXMARINE EIRELI,AVARE,4,2015,Grupo
35600871851,BRAINBENTO EIRELI,SAO JOSE DOS CAMPOS,4,2015,Grupo
35600900842,CHILANTE TRANSPORTES E LOCACOES EIRELI,SAO JOSE DO RIO PRETO,4,2015,Grupo
35600900915,KTEC DO BRASIL - DISTRIBUIDORA DE PRODUTOS DE INFORMATICA - EIRELI,SAO JOSE DO RIO PRETO,4,2015,Grupo
35600901083,MARCON COMERCIO DE BATERIAS EIRELI.,BADY BASSITT,4,2015,Grupo
35600901211,"GRACE INDUSTRIA E COMERCIO DE CONFECCOES EIRELI ""INABILITADA PARA EXERCER ATIVIDADE EMPRESARIAL""",SAO JOSE DO RIO PRETO,4,2015,Grupo
35600901229,FRIGOLD DO BRASIL CARNES E DERIVADOS EIRELI,VOTUPORANGA,4,2015,Grupo
35600902446,"EASY INDUSTRIA E COMERCIO DE PRODUTOS METALICOS EIRELI ""INABILITADA PARA EXERCER ATIVIDADE EMPRESARIAL""",MOGI-GUACU,4,2015,Grupo
35600902462,ORGANIZAR CONTABILIDADE EIRELI,CAMPO LIMPO PAULISTA,4,2015,Grupo
35600902527,"FIGUEIREDO NETO CONSULTORIA, ASSESSORIA, INTERMEDIACAO DE NEGOCIOS E PARTICIPACOES EIRELI",CAMPINAS,4,2015,Grupo
35600902705,TJR SOLUCOES - EIRELI,HOLAMBRA,4,2015,Grupo
35600902799,RESIWAYS INDUSTRIA BRASILEIRA DE PRODUTOS RECICLADOS - EIRELI,MOGI-MIRIM,4,2015,Grupo
35600902837,CRAQUE NETO PUBLICIDADE EIRELI,CAMPINAS,4,2015,Grupo
35600903141,DAYSE DO CARMO S. R. BORBA LOGISTICA EIRELI,MOGI-GUACU,4,2015,Grupo
35600909823,TES - TRANSPORTES ESPECIAIS SCARPELLINI EIRELI -,RIBEIRAO PRETO,4,2015,Grupo
35600912832,LUNAR COMERCIO IMPORTACAO & EXPORTACAO DE RESINAS E EMBALAGENS EIRELI,NEVES PAULISTA,4,2015,Grupo
35600913022,AVILUS 4 ADMINISTRACAO DE BENS PROPRIOS EIRELI,JUNDIAI,4,2015,Grupo
35600913430,"3C - COMERCIO DE MATERIAIS DE HIGIENIZACAO, LIMPEZA E CONSERVACAO EIRELI-""INABILITADA P/EXERCER ATIV. EMPRESARIAL""",BARUERI,4,2015,Grupo
35600919241,LA MASSA PIMENTEL BOLOS E SALGADOS EIRELI,CUBATAO,4,2015,Grupo
35600919314,PORTAL DO COCO EIRELI,PERUIBE,4,2015,Grupo
35600920533,SIGMA ASSESSORIA EMPRESARIAL EIRELI,SOROCABA,4,2015,Grupo
35600920584,PAPEX BRASIL COMERCIAL E INFORMATICA EIRELI,COTIA,4,2015,Grupo
35600920673,"C. REZENDE MASCHIETTO TRANSPORTES - EIRELI ""EM RECUPERACAO JUDICIAL"".",ITARARE,4,2015,Grupo
35600925829,HINGE TECH MAQUINAS E EQUIPAMENTOS INDUSTRIAIS EIRELI,PIRACICABA,4,2015,Grupo
35600925837,W J N - ASSISTENCIA TECNICA DA CONSTRUCAO CIVIL - EIRELI,RIO CLARO,4,2015,Grupo
35600928461,TRANSMAGNA TRANSPORTES EIRELI,GUARULHOS,4,2015,Grupo
35600928739,F S ESTACIONAMENTO EVENTOS MAO DE OBRA E SEGURANCA EIRELI,GUARULHOS,4,2015,Grupo
35600933511,MORAMAY EVENTOS EIRELI,SAO PAULO,4,2015,Grupo
