NIRE,Empresa,Município,Month,Year,Type
35601985981,MORI MAKEUP COMERCIO DE COSMETICOS EIRELI,RIO CLARO,2,2018,Grupo
35601987241,HMBF ENGENHARIA E CONSTRUCOES EIRELI,ARACATUBA,2,2018,Grupo
35602018039,AMAZON COMERCIO ATACADISTA DE FLORES E PLANTAS - EIRELI,SAO JOSE DO RIO PRETO,2,2018,Grupo
35602018110,DANIEL MAYCON DOS SANTOS MOREIRA EIRELI,LINS,2,2018,Grupo
35602026805,MPA CONSTRUCOES E MONTAGEM INDUSTRIAL EIRELI,SAO JOSE DOS CAMPOS,2,2018,Grupo
35602027097,S. DE O. SIQUEIRA TRANSPORTES & LOCACAO EIRELI,PINDAMONHANGABA,2,2018,Grupo
35602027101,BEDI INTERNACIONAL ARTIGOS DE VESTUARIOS EIRELI,CACAPAVA,2,2018,Grupo
35602027135,BRASIL PISOS INDUSTRIAIS E CONSTRUCAO EIRELI,SAO JOSE DOS CAMPOS,2,2018,Grupo
35602027194,A3 - SOLUCOES FINANCEIRAS EIRELI,JACAREI,2,2018,Grupo
35602031027,JOSE AILTON ALEXANDRE DA SILVA - EIRELI,SANTOS,2,2018,Grupo
35602032627,TTKL SERVICOS ADMINISTRATIVOS EIRELI,PAULINIA,2,2018,Grupo
35602032775,AMERICA SERVICOS ADMINISTRATIVOS E GESTAO FINANCEIRA EIRELI,VALINHOS,2,2018,Grupo
35602032791,VIDRACARIA NOVA DE ITAPIRA EIRELI,ITAPIRA,2,2018,Grupo
35602068257,A. GRACIANO CONFECCOES ESPORTIVAS EIRELI,SAO CAETANO DO SUL,2,2018,Grupo
35602068451,BELO DOCE ATACADISTA EIRELI,SAO PAULO,2,2018,Grupo
35602071398,NOROESTE GESTORA DE EMPREENDIMENTOS EIRELI,BAURU,2,2018,Grupo
35602083167,"GUINZO COMERCIO DE PRODUTOS EM GERAL EIRELI - ""INABILITADA PARA EXERCER ATIVIDADE EMPRESARIAL.""",MOGI DAS CRUZES,2,2018,Grupo
35602095742,V E BENTO COMERCIO DE DOCES EIRELI,RIBEIRAO PRETO,2,2018,Grupo
35602096030,THALITA OLIVEIRA ROBLES FERNANDES EIRELI,JAGUARIUNA,2,2018,Grupo
35602096056,ACOS PARAIBA EIRELI,CAMPINAS,2,2018,Grupo
35602096391,MACHADO ARAUJO SERVICOS E COMERCIO DE MATERIAIS HIDRAULICOS EIRELI,CAMPINAS,2,2018,Grupo
35602096561,J. M. R. DE FREITAS EIRELI,CAMPINAS,2,2018,Grupo
35602096579,BAUER REPRESENTACAO COMERCIAL DE RACOES PARA ANIMAIS EIRELI,JAGUARIUNA,2,2018,Grupo
35602098067,GRANDE RIBEIRAO - COBRANCAS EIRELI,RIBEIRAO PRETO,2,2018,Grupo
35602098652,RODRIGO CUTTI SERVICOS DE HOSPITALIDADE EIRELI.,RIBEIRAO PRETO,2,2018,Grupo
35602098679,FOLENAGAS COMERCIO E ATACADO DE GLP EIRELI,IBIUNA,2,2018,Grupo
35602098695,PERFILMIX DISTRIBUIDORA EIRELI,SOROCABA,2,2018,Grupo
35602110075,RUBBERMIX SERVICOS EM RESIDUOS DE BORRACHA EIRELI,GUARULHOS,2,2018,Grupo
35602122014,RAMOS E BORGES APOIO ADMINISTRATIVO EIRELI,JAGUARIUNA,2,2018,Grupo
35602123452,OPEN LAB COWORKING EIRELI,SAO BERNARDO DO CAMPO,2,2018,Grupo
35602124513,CSP CERDAS SINTETICAS PIRACICABA EIRELI,PIRACICABA,2,2018,Grupo
35602127598,O.E. EMPREENDIMENTOS E PARTICIPACOES - EIRELI,SAO PAULO,2,2018,Grupo
35602127709,PERFORMANCE COMERCIO DE EQUIPAMENTOS E SERVICOS EIRELI,SAO CAETANO DO SUL,2,2018,Grupo
35602128021,C. M. AKAISHI EIRELI,SAO PAULO,2,2018,Grupo
35602128071,ACWARE COMERCIO DE EQUIPAMENTOS PARA AUTOMACAO COMERCIAL EIRELI,SAO PAULO,2,2018,Grupo
35602132168,FREEBAR CHOPERIA E WISKERIA EIRELI,ITAQUAQUECETUBA,2,2018,Grupo
35602132532,HACRI MATERIAIS PARA CONSTRUCAO EIRELI,SAO PAULO,2,2018,Grupo
35602136082,INTELIGENE CONSULTORIA EMPRESARIAL E GESTAO DE NEGOCIOS EIRELI,SANTO ANDRE,2,2018,Grupo
35602136325,RGV EMPREENDIMENTOS E PARTICIPACOES EIRELI,JANDIRA,2,2018,Grupo
