NIRE,Empresa,Município,Month,Year,Type
35300474252,I MED OSS S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474279,MD EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474287,OTP RODOVIAS S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474295,BURIQUI COSTA NATIVA EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474309,RMAG EMPREENDIMENTOS E PARTICIPACOES S/A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474317,GAMA 2 INVESTIMENTOS E PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474325,HUB RISK S.A.,BARUERI,1,2015,Sociedade por Acoes
35300474333,VONAGE BRASIL TELECOMUNICACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474341,JFX LOCACAO E ARRENDAMENTO DE BENS S.A,GUARULHOS,1,2015,Sociedade por Acoes
35300474350,GRUPO GMC PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474368,SALTO ADMINISTRADORA DE BENS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474376,EQUITYBANK S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474384,PIM ADMINISTRACAO DE BENS E PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474392,INNOVENTURES IDEAS EM SOLUCOES S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474406,NOVA QUIMICA FARMACEUTICA S.A,HORTOLANDIA,1,2015,Sociedade por Acoes
35300474414,RUR PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474422,TTP PARTICIPACOES S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474449,PEARSON EDUCATION DO BRASIL S.A,CAMPINAS,1,2015,Sociedade por Acoes
35300474457,BR MOBILIDADE BAIXADA SANTISTA SPE S.A.,SANTOS,1,2015,Sociedade por Acoes
35300474465,AKAER ENGENHARIA S.A,SAO JOSE DOS CAMPOS,1,2015,Sociedade por Acoes
35300474473,SETPAR GV PARTICIPACOES S.A,SAO JOSE DO RIO PRETO,1,2015,Sociedade por Acoes
35300474481,MOSYLE TECNOLOGIA S.A,CAMPINAS,1,2015,Sociedade por Acoes
35300474490,NEXXTO SERVICOS EM TECNOLOGIA DA INFORMACAO S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474503,BUFALO SILOS E LOGISTICA S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474511,GIP MEDICINA DIAGNOSTICA S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474520,SAVEGNAGO PARTICIPACOES E NEGOCIOS S.A.,SERTAOZINHO,1,2015,Sociedade por Acoes
35300474538,PINDA 15 PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474546,REC DUQUE DE CAXIAS / S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474554,VIA EMPREENDIMENTOS IMOBILIARIOS S.A - SPE 303,GUARULHOS,1,2015,Sociedade por Acoes
35300474562,REC DUQUE DE CAXIAS II S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474571,REUMIL PARTICIPACOES S.A.,MOGI-MIRIM,1,2015,Sociedade por Acoes
35300474589,REYMILCE PARTICIPACOES S.A.,MOGI-MIRIM,1,2015,Sociedade por Acoes
35300474597,ROFHASAR ADMINISTRACAO E PARTICIPACAO S.A.,SANTO ANTONIO DE POSSE,1,2015,Sociedade por Acoes
35300474601,FHASEL ADMINISTRACAO E PARTICIPACAO S.A.,SANTO ANTONIO DE POSSE,1,2015,Sociedade por Acoes
35300474619,ARCEM INVEST HOLDING S/A,BARUERI,1,2015,Sociedade por Acoes
35300474627,BR PARTNERS RIO DE JANEIRO EMPREENDIMENTOS IMOBILIARIOS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474635,IBBA - INDUSTRIA BRASILEIRA DE BOMBAS AUTOMOTIVAS S/A,VINHEDO,1,2015,Sociedade por Acoes
35300474643,CONTECH PRODUTOS BIODEGRADAVEIS S.A,VALINHOS,1,2015,Sociedade por Acoes
35300474651,"AC AGRO MERCANTIL S.A - ""EM RECUPERACAO JUDICIAL""",SAO PAULO,1,2015,Sociedade por Acoes
35300474660,PARTAGE EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474678,"YOURENT LOCACAO DE BENS S.A. ""EM LIQUIDACAO""",SAO PAULO,1,2015,Sociedade por Acoes
35300474686,EMPREMED ASSESSORIA E EMPREENDIMENTOS S/A,SAO JOSE DOS CAMPOS,1,2015,Sociedade por Acoes
35300474694,"MEBR CONSTRUCOES, CONSULTORIA E PARTICIPACOES S/A",SAO PAULO,1,2015,Sociedade por Acoes
35300474708,CECILIA DALE PARTICIPACOES,SAO PAULO,1,2015,Sociedade por Acoes
35300474716,ANGA ADMINSTRACAO E PARTICIPACOES S/A,SOROCABA,1,2015,Sociedade por Acoes
35300474724,LIVE HEALTHCARE MIDIA S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474732,PIEMONTE DO BRASIL PARTICIPACOES E INVESTIMENTOS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474741,SANTA LUZIA PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474759,LEMASA INDUSTRIA E COMERCIO DE EQUIPAMENTOS DE ALTA PRESSAO S.A.,INDAIATUBA,1,2015,Sociedade por Acoes
35300474767,FUGI SAN PARTICIPACOES E EMPREENDIMENTOS S/A,MONTE ALTO,1,2015,Sociedade por Acoes
35300474775,TECNIT SERVICOS INDUSTRIAIS S/A,PRADOPOLIS,1,2015,Sociedade por Acoes
35300474783,SABOR RAIZ ALIMENTACAO S.A,CAMPINAS,1,2015,Sociedade por Acoes
35300474791,PENICHE PARTICIPACOES S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474805,SIRMIONE PARTICIPACOES S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474813,Z COMPONENTES PARA CALCADOS S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474821,VHN ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474830,MELAO PARTICIPACOES S.A.,ARARAS,1,2015,Sociedade por Acoes
35300474848,REAL BUSINESS NEGOCIOS IMOBILIARIOS S. A.,CAMPINAS,1,2015,Sociedade por Acoes
35300474856,TERA SECURITIZADORA S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474864,SOUL TRADE MARKETING S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474872,RINO PUBLICIDADE S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474881,GLK ADMINISTRACOES E PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474899,CONSULT COMERCIO E SERVICOS ADMINISTRATIVOS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474902,SANTOS & SANTOS HOLDING S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474911,ADM PARTICIPACOES E ADMINISTRACAO DE BENS S.A,CAMPINAS,1,2015,Sociedade por Acoes
35300474929,PACIFIC RDSL PARTICIPACOES S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474937,SALIX GROUP INVESTIMENTOS E PARTICIPACOES S/A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474945,TERRA LIMPA PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474953,TRIPAR PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474961,NITZSCHE ADMINISTRACAO E PARTICIPACOES S.A,MOGI DAS CRUZES,1,2015,Sociedade por Acoes
35300474970,OSTEOCAMP IMPLANTES & MATERIAIS CIRURGICOS S.A.,CAMPINAS,1,2015,Sociedade por Acoes
35300474988,77CO PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474996,GRUPO CMC PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300475003,VENTRIX HOLDING S.A.,VARGEM GRANDE PAULISTA,1,2015,Sociedade por Acoes
35300475011,BOLT ESCO PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474872,RINO PUBLICIDADE S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474881,GLK ADMINISTRACOES E PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474899,CONSULT COMERCIO E SERVICOS ADMINISTRATIVOS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474902,SANTOS & SANTOS HOLDING S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474911,ADM PARTICIPACOES E ADMINISTRACAO DE BENS S.A,CAMPINAS,1,2015,Sociedade por Acoes
35300474929,PACIFIC RDSL PARTICIPACOES S.A,SAO PAULO,1,2015,Sociedade por Acoes
35300474937,SALIX GROUP INVESTIMENTOS E PARTICIPACOES S/A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474945,TERRA LIMPA PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300474953,TRIPAR PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474961,NITZSCHE ADMINISTRACAO E PARTICIPACOES S.A,MOGI DAS CRUZES,1,2015,Sociedade por Acoes
35300474970,OSTEOCAMP IMPLANTES & MATERIAIS CIRURGICOS S.A.,CAMPINAS,1,2015,Sociedade por Acoes
35300474988,77CO PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300474996,GRUPO CMC PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300475003,VENTRIX HOLDING S.A.,VARGEM GRANDE PAULISTA,1,2015,Sociedade por Acoes
35300475011,BOLT ESCO PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475020,FHARGL EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475038,SANTO ABELARDO EMPREENDIMENTOS E PARTICIPACOES SPES.A,SAO PAULO,1,2015,Sociedade por Acoes
35300475046,AGROPECUARIA SAO JOAO DO PALMITAL S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475054,LIBANOPAR ADMINISTRACAO E PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475062,DATORA MOBILE TELECOMUNICACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475071,SABIA DOWNTOWN EMPREENDIMENTOS IMOBILIARIOS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475089,ZANSUGAR PARTICIPACOES S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475097,ENERGIA DOS VENTOS I S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475101,ENERGIA DOS VENTOS III S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475119,ENERGIA DOS VENTOS X S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475127,VAZANTE I ENERGIAS RENOVAVEIS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475135,PCMS-ACA ADMINISTRACAO E PARTICIPACOES S/A,SAO PAULO,1,2015,Sociedade por Acoes
35300475143,VAZANTE II ENERGIAS RENOVAVEIS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475151,VAZANTE III ENERGIAS RENOVAVEIS S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35300475160,AGROPECUARIA BARRA FUNDA S/A,IPIGUA,1,2015,Sociedade por Acoes
35300475178,VALOR SERVICOS DE CONSTRUCAO CIVIL S.A.,SAO PAULO,1,2015,Sociedade por Acoes
35400171529,COOPERATIVA OESTE FORTE COLETA DE MATERIAL RECICLAVEL,SAO PAULO,1,2015,Cooperativa
35400171537,COOPERATIVA DE TRABALHO DE RECICLAGEM JARDIM 5 DE JULHO,SAO PAULO,1,2015,Cooperativa
35400172487,COOPERTRESP COOPERATIVA DE TRANSPORTES RODOVIARIO E ESCOLAR POAENSE EM LIQUIDACAO,POA,1,2015,Cooperativa
35400172711,COOPHOMAR - COOPERATIVA DE PRODUTORES DE HORTIFRUTI DE MARILIA,MARILIA,1,2015,Cooperativa
35400172835,COOPERATIVA DE TRABALHO DOS PROFISSIONAIS EM GESTAO EMPRESARIAL E TECNOLOGIA DA BAIXADA SANTISTA,SANTOS,1,2015,Cooperativa
35400173815,COOPERATIVA DOS CATADORES DE MATERIAIS RECICLAVEIS DE PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,1,2015,Cooperativa
35400174633,"LIFE PREMIUM COOPERATIVA DE TRABALHO DOS PROFISSIONAIS NA AREA DA SAUDE E HOME CARE - ""EM LIQUIDACAO""",SAO PAULO,1,2015,Cooperativa
35400174641,"COOPERATIVA DE CONSUMO DOS PARTICIPANTES DE PRODUTOS DE ALIMENTACAO EM GERAL PARA BUFFET, FEIRAS, CONGRESSOS, ATIV",SAO PAULO,1,2015,Cooperativa
35400174811,COFARP - COOPERATIVA DOS PRODUTORES FAMILIARES DE PIEDADE,PIEDADE,1,2015,Cooperativa
