NIRE,Empresa,Município,Month,Year,Type
35602900785,MELO & MELO BARRETOS LOCACAO EIRELI,BARRETOS,9,2020,Grupo
35603111911,FORT DISTRIBUIDORA DE AUTOPECAS EIRELI,SAO PAULO,9,2020,Grupo
35603122433,TEC INDUS MANUTENCAO INDUSTRIAL EIRELI,BOCAINA,9,2020,Grupo
35603137121,MS SERVICOS DE IMAGINOLOGIA - EIRELI,SAO PAULO,9,2020,Grupo
35603141438,AM3 INDUSTRIA E COMERCIO DE ARTEFATOS DE ARAME EIRELI,SAO PAULO,9,2020,Grupo
35603155439,COMPANHIA BRASILEIRA DE CRIACAO E DESENVOLVIMENTO DE SOFTWARES EIRELI,RIBEIRAO PRETO,9,2020,Grupo
35603162532,BLK DESIGNER EIRELI,SAO PAULO,9,2020,Grupo
35603173119,GARFFO SANTO RESTAURANTE - EIRELI,SAO PAULO,9,2020,Grupo
35603173143,COSTA PARTICIPACOES EIRELI,SAO PAULO,9,2020,Grupo
35603173208,VIA BELEZA EIRELI,SAO PAULO,9,2020,Grupo
35603175294,"BRPACKING EMBALAGENS EIRELI - ""EM RECUPERACAO JUDICIAL""",SOROCABA,9,2020,Grupo
35603177785,A. A. O EMPREITEIRA DE MAO DE OBRA EIRELI,MAIRINQUE,9,2020,Grupo
35603177971,DALCOQUIO SERVICOS E ASSESSORIA EMPRESARIAL EIRELI,OSASCO,9,2020,Grupo
35603183653,FERRO 70 COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS EIRELI,ITAQUAQUECETUBA,9,2020,Grupo
35603183670,INDIO HAMBURGUERIA EIRELI,SAO PAULO,9,2020,Grupo
35603183688,IMPERIO DO GESSO REPAROS E CONSTRUCOES EIRELI,CAJAMAR,9,2020,Grupo
35603183793,SEVEN HILLS COMERCIAL ELETRONICOS EIRELI,SAO PAULO,9,2020,Grupo
35603184293,MAITHIA BARROS GUEDES EIRELI,SAO PAULO,9,2020,Grupo
35603184391,LORENZETTI & GIRO SERVICOS DE EDITORACAO GRAFICA EIRELI,SAO PAULO,9,2020,Grupo
